imageCounter,currentTime,meanNetworkDelay,meanResponseTime
111,2021-05-24 15:18:56.609950,1.7716753783526722,1.7993483951499871
112,2021-05-24 15:18:57.621207,1.7706956756966454,1.7983371785708837
113,2021-05-24 15:18:58.621121,1.7697340408257678,1.7973453766476792
114,2021-05-24 15:18:59.636190,1.7688060141446298,1.796380925596806
115,2021-05-24 15:19:00.635016,1.7678933102151622,1.7954405141913372
116,2021-05-24 15:19:01.646631,1.7670158661645035,1.7945390795839244
117,2021-05-24 15:19:02.642992,1.7661359575059679,1.7936293161832368
118,2021-05-24 15:19:03.641158,1.76522217362614,1.7926988177380319
119,2021-05-24 15:19:04.683631,1.7643800723452527,1.791897715640669
120,2021-05-24 15:19:05.674058,1.7635122418403626,1.7910045365492502
121,2021-05-24 15:19:06.690180,1.762677736518797,1.7901529063863202
122,2021-05-24 15:19:07.698070,1.7618581681955057,1.7893132889857057
123,2021-05-24 15:19:08.697456,1.7610093985146624,1.7884464302683265
124,2021-05-24 15:19:09.718690,1.7602278147974322,1.7876493027133327
125,2021-05-24 15:19:10.733471,1.7594186534881593,1.786812370300293
126,2021-05-24 15:19:11.733210,1.758635607976762,1.786009603076511
127,2021-05-24 15:19:12.747643,1.7578745826961488,1.785225967722615
128,2021-05-24 15:19:13.743739,1.757125737145543,1.7844553254544735
129,2021-05-24 15:19:14.761305,1.7563806781473086,1.7837529145469961
130,2021-05-24 15:19:15.764824,1.755644965171814,1.7829992624429556
131,2021-05-24 15:19:16.771126,1.7549277116324156,1.782265406528502
132,2021-05-24 15:19:17.778727,1.7542093016884543,1.7815259099006653
133,2021-05-24 15:19:18.776800,1.7535229751041956,1.7808257135233485
134,2021-05-24 15:19:19.796712,1.7528271657317431,1.780113780676429
135,2021-05-24 15:19:20.808523,1.7521688902819599,1.779436062000416
136,2021-05-24 15:19:21.809864,1.7514969355919783,1.7787470607196583
137,2021-05-24 15:19:22.829181,1.7508732385008874,1.7780993611273104
138,2021-05-24 15:19:23.839240,1.7502435134804768,1.777453078739885
139,2021-05-24 15:19:24.848689,1.7496265799021549,1.7768738235501076
140,2021-05-24 15:19:25.835428,1.748996252673013,1.776219585963658
141,2021-05-24 15:19:27.866103,1.7555442414385207,1.7827517834115536
142,2021-05-24 15:19:28.047303,1.7548808850033182,1.7820703848986559
143,2021-05-24 15:19:29.068232,1.7542502980132204,1.781421336260709
144,2021-05-24 15:19:30.064234,1.753620755341318,1.7807753268215392
145,2021-05-24 15:19:31.073969,1.7529732227325439,1.780103477938422
146,2021-05-24 15:19:32.078978,1.7523634841997329,1.7794710446710456
147,2021-05-24 15:19:33.089960,1.7517193239562365,1.778801864507247
148,2021-05-24 15:19:34.106670,1.751108449858588,1.778179333016679
149,2021-05-24 15:19:35.130556,1.7505256057585645,1.777641243582604
150,2021-05-24 15:19:36.134607,1.749946001370748,1.7770482921600341
151,2021-05-24 15:19:37.131747,1.7493757696341206,1.7764603144285696
152,2021-05-24 15:19:38.134034,1.748824794041483,1.775899472989534
153,2021-05-24 15:19:39.136352,1.7482752581827001,1.7753340481153501
154,2021-05-24 15:19:40.142139,1.747725449599229,1.7747668569738215
155,2021-05-24 15:19:41.148276,1.7471359760530534,1.7741581178480579
156,2021-05-24 15:19:42.153587,1.7465790739426246,1.773583201261667
157,2021-05-24 15:19:43.169611,1.746054187701766,1.7730447820797088
158,2021-05-24 15:19:44.186080,1.7455394464203073,1.772511154790468
159,2021-05-24 15:19:45.173611,1.7450202411075808,1.7720280233419166
160,2021-05-24 15:19:46.196955,1.7445176616311073,1.7715101316571236
161,2021-05-24 15:19:47.203545,1.7439763753310493,1.7709554989145408
162,2021-05-24 15:19:48.261393,1.7437500835936746,1.7707186922614957
163,2021-05-24 15:19:49.222923,1.7432475587341683,1.7702050545464265
164,2021-05-24 15:19:50.224631,1.742754728328891,1.7696948589348211
165,2021-05-24 15:19:51.236056,1.7422600341565682,1.7691827138264975
166,2021-05-24 15:19:52.238073,1.7417909840503372,1.7687012574758874
167,2021-05-24 15:19:53.256906,1.741362593131151,1.7682643293620584
168,2021-05-24 15:19:54.254474,1.7408635772409893,1.7677460483142309
169,2021-05-24 15:19:55.269941,1.740401101535594,1.7673174093460895
170,2021-05-24 15:19:56.257027,1.7399472376879523,1.766847196747275
171,2021-05-24 15:19:57.275731,1.739491593768025,1.7663784013157002
172,2021-05-24 15:19:58.298829,1.7390560355297355,1.7659273355506186
173,2021-05-24 15:19:59.300185,1.7386269789899704,1.7654837762689315
174,2021-05-24 15:20:00.299645,1.738190463219566,1.7650311171323403
175,2021-05-24 15:20:01.296789,1.7377678394317626,1.764595843723842
176,2021-05-24 15:20:02.311432,1.7373492866754532,1.76416446945884
177,2021-05-24 15:20:03.320307,1.7369015378467108,1.7636986627417095
178,2021-05-24 15:20:04.329614,1.7364925521143366,1.7632778990134765
179,2021-05-24 15:20:05.351061,1.7360843959467371,1.7629034732307136
180,2021-05-24 15:20:06.330776,1.7356846107376946,1.762490979830424
181,2021-05-24 15:20:07.360329,1.7352548080254655,1.7620529469864143
182,2021-05-24 15:20:08.382772,1.7348638000069083,1.7616507705751356
183,2021-05-24 15:20:09.383594,1.7344527348794572,1.7612251193145585
184,2021-05-24 15:20:10.391989,1.7340673791325611,1.760827432508054
185,2021-05-24 15:20:11.402559,1.7336883338722022,1.7604378133206755
186,2021-05-24 15:20:12.416035,1.733316784263939,1.760053059106232
187,2021-05-24 15:20:13.429345,1.7329434570781688,1.7596661815031327
188,2021-05-24 15:20:14.434649,1.7325782572969477,1.7592893635973017
189,2021-05-24 15:20:15.456683,1.7322222366534843,1.758969298115483
190,2021-05-24 15:20:16.456180,1.7318714141845704,1.7586063799105192
191,2021-05-24 15:20:17.458593,1.7315284656604548,1.7582524384503588
192,2021-05-24 15:20:18.471097,1.7311759417255719,1.7578971187273662
193,2021-05-24 15:20:19.480586,1.7308286891700073,1.757540550874305
194,2021-05-24 15:20:20.462902,1.7304824049939815,1.7571837004927016
195,2021-05-24 15:20:21.478655,1.7301382615016057,1.756828788610605
196,2021-05-24 15:20:22.481685,1.7297686642530012,1.7564472130366735
197,2021-05-24 15:20:23.569584,1.7294287669477124,1.7560948212134657
198,2021-05-24 15:20:24.701548,1.7294748070264103,1.7561299945368911
199,2021-05-24 15:20:25.570561,1.7291355911810793,1.7558288238755422
200,2021-05-24 15:20:26.571007,1.7287937784194947,1.7554739570617677
201,2021-05-24 15:20:27.583767,1.7284514619343316,1.7551214647530324
202,2021-05-24 15:20:28.580667,1.7281116388811923,1.754770041692375
203,2021-05-24 15:20:29.617369,1.7277910110398467,1.754438759658137
204,2021-05-24 15:20:30.608667,1.7274705417015974,1.7541080865205503
205,2021-05-24 15:20:31.636728,1.7271606247599531,1.7537866138830418
206,2021-05-24 15:20:32.626007,1.7268316340677947,1.7534479030127663
207,2021-05-24 15:20:33.644944,1.7265990678814873,1.753204529988017
208,2021-05-24 15:20:34.630688,1.7262975229666784,1.7528987939541156
209,2021-05-24 15:20:35.702990,1.7260066367792741,1.7526379281824285
210,2021-05-24 15:20:36.666724,1.7257000616618565,1.7523223002751669
211,2021-05-24 15:20:37.659633,1.7253868014891565,1.7519976233984056
212,2021-05-24 15:20:38.689684,1.7250899717492878,1.7516911344708137
213,2021-05-24 15:20:39.706791,1.7248015806708537,1.7513968351301452
214,2021-05-24 15:20:40.709772,1.724521045372865,1.7511067100774462
215,2021-05-24 15:20:41.701260,1.724228057195974,1.7508019391880478
216,2021-05-24 15:20:42.700013,1.723951072604568,1.7505084640449948
217,2021-05-24 15:20:43.703958,1.7236734546274632,1.750225279188376
218,2021-05-24 15:20:44.720748,1.723404318914501,1.7499440963115167
219,2021-05-24 15:20:45.737406,1.7231255862266506,1.749687790326332
220,2021-05-24 15:20:46.747580,1.7228742480278014,1.7494311311028221
221,2021-05-24 15:20:47.766817,1.7226098015297593,1.7491569195397838
222,2021-05-24 15:20:48.769818,1.7223193860268808,1.7488610046403903
223,2021-05-24 15:20:49.772861,1.7220723286872488,1.7486097000104963
224,2021-05-24 15:20:50.777246,1.7218105367251806,1.7483430856040545
225,2021-05-24 15:20:51.773410,1.7215632851918539,1.7480906709035238
226,2021-05-24 15:20:52.791949,1.721305516968786,1.7478234440879483
227,2021-05-24 15:20:53.812488,1.7210479496859243,1.7475565834717603
228,2021-05-24 15:20:54.815917,1.7207903506463034,1.7472864243022181
